user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
drinkincajun,6882482614483584006,6955655951437352197,#drinkincajun #fypシ,1619489856,59,https://www.tiktok.com/@drinkincajun/video/6955655951437352197?lang=en,78800,11600,2360,569100
carissareese1,91806841059287040,6949225959476301062,"Reply to @joroco3  venti mango dragon fruit refresher, no water, no inclusions,add apple juice, 2 pumps of vanilla syrup and a splash of coconut milk",1617992756,17,https://www.tiktok.com/@carissareese1/video/6949225959476301062?lang=en,14000,266,83,128700
itsjennadavis,17331203,6956780117007912198,😳😳😳 #yikes #relate #relateable #awkward #SkipTheRinse #TikTokGGT #news #ohno,1619751598,15,https://www.tiktok.com/@itsjennadavis/video/6956780117007912198?lang=en,577200,28400,61700,4000000
couponwithkayla,6741134957907526662,6952425213686582533,Easy Walgreens deal for this week! Posted 4/17. Enjoy! #couponing #extremecouponing,1618737645,39,https://www.tiktok.com/@couponwithkayla/video/6952425213686582533?lang=en,198000,18700,2462,3100000
jordanpaul15,130652531193622528,6955935809396690181,bend that rod back straight,1619555015,9,https://www.tiktok.com/@jordanpaul15/video/6955935809396690181?lang=en,33900,149,36,7000000
steelers,97457954718724096,6948944722274651398,Our grandfather on his way to invent the touchdown celebration 😂 #juju #steelers #nfl #celebration @juju,1617927276,6,https://www.tiktok.com/@steelers/video/6948944722274651398?lang=en,30200,79,227,165300
hassankhadair,133796870497267712,6959649900854283525,Reply to @howieazy The call you’ve all been waiting for!!! #disney #mickeymouse #mickey,1620419769,78,https://www.tiktok.com/@hassankhadair/video/6959649900854283525?lang=en,198300,587,1256,943100
officialbigdawgg,6868056552486814726,6954871829865532677,ALL DADS!!! I APPROVE THE GELLETS GUNS LOL SO MUCH FUN FOR THE FAMILY #realmenstandup #provider #REALDAD,1619307288,51,https://www.tiktok.com/@officialbigdawgg/video/6954871829865532677?lang=en,622400,14400,1816,5100000
collinurrmom,6749309515509154821,6947854628616817925,wannabe sweetened ice tea,1617673469,44,https://www.tiktok.com/@collinurrmom/video/6947854628616817925?lang=en,86400,813,697,602400
sashiesashh,6777441324297225222,6956071017924037894,BRAND NEW SELTZERS HITTING STORES SOON #cheersbabies #seltzers #alcoholreview #alcohol #trulyteo,1619586501,23,https://www.tiktok.com/@sashiesashh/video/6956071017924037894?lang=en,309400,34900,6630,1900000
sunnyeggy,6824494791990019077,6949223385587027206,Meet Brookie #fosterpup,1617992156,9,https://www.tiktok.com/@sunnyeggy/video/6949223385587027206?lang=en,266800,19100,3668,1100000
milkteamali,6860283380655899653,6948130258411375878,the easiest strawberry matcha latte // you know I had to use this sound🍓 #learnwithme #strawberrymatcha,1617737643,15,https://www.tiktok.com/@milkteamali/video/6948130258411375878?lang=en,1700000,23800,12400,11300000
tool_tips,6857615698618074118,6956645446257347845,#fyp #kevinclub11 #fy,1619720240,30,https://www.tiktok.com/@tool_tips/video/6956645446257347845?lang=en,2400000,73400,5290,43900000
yehsar22,6776203145372779526,6955129716097518853,#stitch with @whoaitsjahir #NeonTwin #jokes,1619367331,12,https://www.tiktok.com/@yehsar22/video/6955129716097518853?lang=en,3301,1230,87,76500
pudgywoke,6576121525962735622,6951502177336577285,Responding to whoever comments “OWA OWA” the most under my recent post on Instagram @pudgywoke ❣️ #Pudgywoke,1618522729,6,https://www.tiktok.com/@pudgywoke/video/6951502177336577285?lang=en,369000,3348,9061,2500000
kali69cal,6659585517728546821,6959922266528304390,Reply to @3velyn_xxx #acefamily,1620483185,7,https://www.tiktok.com/@kali69cal/video/6959922266528304390?lang=en,249800,2041,5915,1700000
obeymydope_ness,6776093565779002374,6948527155395464454,#fypシ #GetCrocd #GoForTheHandful #foryou #foryoupage #essntiawater #2021,1617830053,11,https://www.tiktok.com/@obeymydope_ness/video/6948527155395464454?lang=en,270000,76500,3820,3400000
duckytheyorkie,6589068371127156741,6943715160183803141,He’s 10 & even smaller than Ducky 🥺🐥 #duckytheyorkie #yorkie,1616709673,30,https://www.tiktok.com/@duckytheyorkie/video/6943715160183803141?lang=en,32200,223,290,144200
danielromeohh,6838022272914048005,6957503143097715974,This Speakeasy is a hit 😎 @emgcerna #datenightideas #dateideas #chicago #chicagodatenights #chicagotiktok #foryoupage #speakeasy #chicagospeakeasy,1619919939,19,https://www.tiktok.com/@danielromeohh/video/6957503143097715974?lang=en,28100,4498,198,241800
theparadise.bartender,6782735743665603590,6933281599618419973,#duet with @erinfeldmeyer  We need a girls day for cocktails and pictures!  Your #perfectdrink was perfection! #bartender #cocktails #snow #queen #fyp,1614280427,21,https://www.tiktok.com/@theparadise.bartender/video/6933281599618419973?lang=en,68700,79,186,467900
